POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         dąbrowski ,59513,112,5.0,0.9,9.3,8.6,0.6,-0.3,0.4,1.8
         gorlicki ,109201,113,5.7,0.9,10.9,9.5,1.5,-2.5,-0.6,3.3
         krakowski ,266649,217,4.8,1.1,10.0,9.1,0.9,7.7,7.6,3.4
         limanowski ,128545,135,5.9,0.6,12.7,7.7,4.9,-1.1,3.9,2.5
         miechowski ,49966,74,4.9,1.2,9.0,13.1,-4.1,0.6,-2.9,4.4
         myślenicki ,123991,184,5.7,0.8,11.6,7.7,3.9,1.8,5.4,2.1
         nowosądecki ,211045,136,5.8,0.6,12.2,7.4,4.8,0.1,5.0,4.3
         nowotarski ,189623,129,4.7,0.9,10.3,7.9,2.3,-0.7,1.9,2.6
         olkuski ,114073,185,4.6,1.3,8.6,10.1,-1.5,-2.0,-3.4,7.2
         oświęcimski ,155040,382,5.1,1.3,9.8,9.8,0.1,-0.6,0.0,5.9
         proszowicki ,43864,106,4.5,1.1,9.2,11.3,-2.2,-0.0,-1.8,5.0
         suski ,84111,123,5.7,0.8,10.4,9.6,0.8,0.2,1.8,5.7
         tarnowski ,199675,141,5.4,0.8,10.2,8.3,1.9,0.4,3.1,4.9
         tatrzański ,67847,144,4.9,1.4,10.5,9.0,1.5,-0.4,0.2,5.6
         wadowicki ,158983,247,5.3,1.0,10.4,8.9,1.5,-0.0,1.5,2.4
         wielicki ,118553,289,4.3,1.2,10.9,8.2,2.6,11.7,15.0,3.1
         M. Kraków ,758992,2322,4.3,1.6,9.7,9.5,0.3,1.3,0.9,3.9
         M. Nowy Sącz ,83943,1458,5.1,1.6,10.0,9.1,0.9,-3.7,-2.2,2.4
         M. Tarnów ,112120,1549,4.5,1.8,8.3,9.1,-0.8,-6.4,-7.4,4.3
         białobrzeski ,33669,53,6.0,0.9,10.5,11.2,-0.7,-2.6,-2.7,14.1
         ciechanowski ,90978,86,5.0,1.2,10.1,10.4,-0.3,-2.8,-2.9,2.2
         garwoliński ,108562,84,6.1,1.0,12.1,10.7,1.4,-1.7,-0.3,2.3
         gostyniński ,46517,76,4.4,1.3,9.0,10.2,-1.2,-1.7,-2.4,7.1
         grodziski ,88634,241,4.2,2.3,10.0,9.1,0.9,12.2,12.7,3.4
         grójecki ,98709,78,4.8,1.0,10.4,11.2,-0.8,0.9,0.7,6.8
         kozienicki ,62100,68,5.3,1.1,10.1,10.9,-0.9,-2.3,-2.8,1.6
         legionowski ,111049,284,3.7,1.6,10.4,7.5,2.9,8.6,10.6,3.5
         lipski ,35564,48,4.8,0.9,8.5,13.4,-4.9,-4.6,-9.1,3.3
         łosicki ,32101,42,6.0,0.8,10.0,12.7,-2.7,-4.8,-6.4,0.0
         makowski ,46577,44,4.8,1.2,10.0,11.4,-1.4,-3.7,-5.5,2.1
         miński ,149897,129,4.3,1.5,11.6,9.8,1.9,4.6,6.5,2.3
         mławski ,74042,63,5.1,1.3,9.6,12.0,-2.4,-2.5,-5.1,7.0
         nowodworski ,78500,113,4.2,1.5,9.7,10.1,-0.4,3.5,2.3,7.9
         ostrołęcki ,88116,42,5.4,0.9,10.7,9.0,1.7,1.5,3.3,5.3
         ostrowski ,74683,61,4.1,1.3,9.3,10.7,-1.4,-3.3,-4.2,2.9
         otwocki ,122342,199,4.0,1.2,10.2,9.4,0.8,2.5,3.0,1.6
         piaseczyński ,171589,276,4.0,2.0,10.9,7.5,3.4,12.9,15.7,3.8
         płocki ,111047,62,4.3,1.2,9.6,10.7,-1.1,1.8,1.4,7.5
         płoński ,88825,64,4.5,1.5,10.0,11.9,-1.9,-1.1,-2.2,2.3
         pruszkowski ,158183,642,3.9,2.7,10.6,8.7,1.9,8.1,8.8,1.8
         przasnyski ,53536,44,5.6,1.2,10.3,10.7,-0.4,-5.1,-4.7,9.0
         przysuski ,42980,54,5.7,0.7,9.4,12.3,-2.9,-4.3,-6.7,5.0
         pułtuski ,51395,62,4.9,1.0,9.8,11.0,-1.1,0.1,0.1,0.0
         radomski ,151085,99,5.3,1.1,10.7,9.9,0.7,0.9,2.8,7.5
         siedlecki ,81792,51,5.1,1.1,11.0,11.4,-0.4,-1.4,-1.6,2.2
         sierpecki ,53326,63,4.8,1.2,9.8,10.7,-0.9,-3.5,-4.0,7.6
         sochaczewski ,85155,116,4.8,1.3,9.9,9.7,0.2,0.2,-0.1,7.1
         sokołowski ,55812,49,5.0,1.1,9.6,12.7,-3.1,-4.7,-8.0,9.3
         szydłowiecki ,40430,89,5.3,1.3,9.4,10.6,-1.2,-3.9,-5.1,2.6
         warszawski zachodni ,110984,208,4.2,2.0,9.2,8.3,0.9,11.8,12.4,5.0
         węgrowski ,67596,55,5.3,1.0,11.0,10.6,0.5,-3.7,-3.4,2.7
         wołomiński ,228830,240,4.3,1.5,12.1,8.1,4.1,10.2,14.1,3.3
         wyszkowski ,73914,84,5.0,1.4,11.0,9.3,1.7,-1.3,1.3,3.7
         zwoleński ,36967,64,5.2,1.1,9.8,11.7,-1.9,-2.1,-2.8,11.1
         żuromiński ,40014,50,4.9,0.8,9.8,11.6,-1.8,-6.5,-7.1,12.7
         żyrardowski ,76391,143,4.7,1.4,9.8,11.1,-1.3,-0.7,-2.4,5.3
         M. Ostrołęka ,52917,1848,5.6,1.9,10.4,6.9,3.5,-9.3,-6.9,5.4
         M. Płock ,122815,1395,4.7,2.1,9.2,9.7,-0.5,-4.5,-6.6,1.8
